text,category
85. Construct a dictionary and a truth table to determine if the following statements are logically equivalent,Application
"32. Divide the story into initiating event, rising action, climax, and falling action",Analysis
82. What do you think about . . .?,Evaluation
28. Differentiate between .call by value and call by reference.,Analysis
24. Identify fractions from a pictorial representation,Knowledge
"22. Create a new song for the opening line of ""Mary had a little lamb"".",Synthesis
6. How does the law of supply and demand explain the current increase in the price of fruit?,Application
53. How to specify the impact energy and impact test temperature of the material in the Code,Application
96. Explain the whole method of crushing,Comprehension
16. Describe the major clinical differences between visceral and somatic pain,Comprehension
79. What changes to . . . would you recommend?,Evaluation
74. Use tableau methods to prove that the following tableau is valid.,Application
86. when did the first saudi radio station open,Knowledge
2. Can you create new and unusual uses for . . .?,Synthesis
78. What does ICT stands for.,Knowledge
64. State four attributes of well engineered software.,Knowledge
7. Explain how the heart is like a pump.,Comprehension
19. Memorize the meaning of ...,Knowledge
9. Name the authors of...?,Knowledge
15. Compose music for a frog play.,Synthesis
4. Appraise data in support of a hypothesis.,Evaluation
62. How do we differentiate between genuine buyer and undercover buyer,Analysis
94. Express the following systems in matrix form,Comprehension
19. Compose your own note-taking design that incorporates all theadvantages of the Cornell Method.,Synthesis
72. State in your own words what the author means when he says,Comprehension
45. Explain choices made in making recommendations to an end user.,Evaluation
29. Draw a picture of the gown Cinderella wore to the ball.,Application
90.  Estimate the epicentral coordinates of the earth-quake,Evaluation
2. Analyze the characteristics of frogs.,Analysis
37. List four types of clauses mentioned in the article,Knowledge
73.   Use the unification algorithm to determine whether the following two terms are uni_able. Show intermediate step,Application
75. Critically examine the strengths and weaknesses of the positivist paradigm,Analysis
13. Prepare a list of criteria to judge ... Evaluate expressions,Evaluation
55. Specify the thickness of a galvanized coating based on atmospheric data? (level 2),Application
84. What is the most important...?,Evaluation
94. Investigate (pointwise) convergence and absolute convergence of the given series of functions,Analysis
4. Describe how interest rates affect the economy,Comprehension
62. Recite the principles of the Data Protection Act.,Knowledge
37. Make a scrapbook about the areas of study.,Application
9. Judge the validity of arguments for and against astrology,Evaluation
88. Write a list of criteria to judge the Willy raps.,Evaluation
94. How do we efficiently combine multiple subject graphs to construct an aig with choice,Synthesis
65. Justify the title To Kill a Mockingbird .,Evaluation
71. Select the best proposal for a proposed water treatment plant.,Evaluation
23. Write another ending to the story that is different from the author's ending.,Synthesis
80. What criteria would you use to assess the validity of a business contract?,Evaluation
80.  Can you distinguish for me between what is reasonably  achievable and what are  exaggerations,Analysis
60. Recite a policy of immigration in Europe .,Knowledge
35. analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.,Analysis
12. How many instructions in the instruction set of RISC computer?,Knowledge
91. Contrast the Valles Marineris on Mars with the Grand Canyon,Analysis
69. State in your own words the rule for balls and strikes in baseball.,Comprehension
3. Apply the rule of law to a new situation,Application
71. In what ways are foxes similar to wolves and dogs,Analysis
"27. Draw 3 pictures showing the beginning, middle and ending of the story.",Application
28. Explain the communicative property.,Comprehension
"12. Award the contract to the best proposal. Rank the principles of ""good sportsmanship"" in order of importance to you.",Evaluation
13. Propose a set of alternatives for reducing dependence on fossil fuels that address both economic and environmental concerns.,Synthesis
96. can you devise an explicit formula for,Synthesis
65. Rewrite the markov matrix to account for this slight change.,Comprehension
9. Draw the basic outline of a page of notes using the Cornell Method?,Knowledge
87. Would you have liked to have had Cinderella for a sister? Explain why or why not.,Evaluation
74.  Examine the differences between the model excluding the most influential observation and the model including all observations.,Analysis
42. Pretend you are one of the characters in the book. Write a diary about the happenings in your life for two consecutive days.,Application
"9. Design a record, book or magazine cover for...",Synthesis
"82. In your own words, tell what is meant by the definition of an isosceles triangle.",Comprehension
16. What is the analysis of ______________?,Analysis
42. Devise a new economic system based on the ones that already exist.,Synthesis
64. Name one character. Rewrite the story from this character's point of view.,Synthesis
10. Design a new monetary system or an experiment for establishing.,Synthesis
99. who was the first to compose in the arts of makamat,Knowledge
3. Label the parts of the diagram,Knowledge
24. Create a storyboard for a sequel to your book. Use the same characters.,Synthesis
60. Use a manual to calculate an employee's vacation time.,Application
"50. Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",Evaluation
87.  Construct a family of networks to demonstrate that the number of different mincuts in a network can be exponential in the size of the network,Application
39. Model an Olympic Village for the new Millenium.,Application
71. State the rule for balls and strikes in baseball.,Knowledge
"36. Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",Analysis
77.  Examine carefully the given map extract on the following page to help you work out the exercise below.,Analysis
53. How would the U.S.A. be different if the South had won the Civil War?,Synthesis
"23. Identify a property (commutative, additive, etc(",Knowledge
15. List important information you can remember from lesson....,Knowledge
74. What are the major products and exports of countries,Knowledge
52. Distinguish between abstract date types (ADTs) and implementations of ADTs,Analysis
34. Establish criteria for making this choice and defend your final selection.,Evaluation
8. Describe in your own words how to copy text from one program into another.,Comprehension
36. Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,Synthesis
36. Make a paper-mache map to include relevant information about an event.,Application
3. Sketch a diagram which shows these fractions or take photographs of the fractions.,Application
63. Make up a new language code and write material using it.,Synthesis
1. Analyze safe and dangerous aspects of these features.,Analysis
13. Categorise the pictures and add them to the wall display.,Application
100.  Outline your experience in working with service users,Comprehension
"83. In your own words, how would you define transferable skills",Comprehension
84. Write a letter to the editor on a social issue of concern to you.,Synthesis
13. Compose a rhythm or put new words to a known melody.,Synthesis
5. Explain what is happening in the first picture of the story.,Comprehension
28. Design a building according to given specifications,Synthesis
24. What criticisms could you make ?,Evaluation
10. Draw the block diagram of the central processing unit,Knowledge
18. What criteria would you use to evaluate if your answer is correct?,Evaluation
"10. Combine elements of drama, music, and dance into a stage presentation.",Synthesis
61. Restate the Olympic motto in your own words.,Comprehension
5. Appraise the speech's effectiveness based upon the class' criteria.,Evaluation
"35. Evaluate a work of art, giving the reasons for your evaluation.",Evaluation
54. Recall basic math facts,Knowledge
76. Use Gauss' Law to find the electric field between the plates when the charge on them is Q,Application
22. Compare three celebrations using a Venn diagram.,Analysis
13. Compare and contrast our school to other communities.,Analysis
27. Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience.,Evaluation
"90.  Briefly compare this way of testing the satisfiability of to the more standard way using SLD Resolution, as in Prolog",Comprehension
57. in what ways trajectory patterns differ according to ABC,Analysis
31. Explain the process (paraphrase) for finding the perimeter of a rectangular garden,Comprehension
40. How was life different in your town 100 years ago?,Analysis
88.  How do you construct foliations on a given manifold M?,Application
12. Compare and contrast animals that the class has made.,Analysis
51. Name the main characters in the story.,Knowledge
20. How much time did he took to build a house,Knowledge
40. Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,Evaluation
22. How would you rank the items given the criteria ?,Evaluation
6. Break down the main actions of the story.,Analysis
35. Make a diorama to illustrate an important event.,Application
"46. Outline an ""attack plan"" that will allow you to test your hypothesis using computational molecular modeling tools",Comprehension
21. Put in your own words...,Comprehension
41. List the procedure to draw a mixed potential or Evans' diagram,Knowledge
6. Describe in prose what is shown in graph form.,Comprehension
50. What are the parts or features of...?,Analysis
15. Choose a paint schedule for the maintenance of an outdoor structure? (level 2),Evaluation
72.  Use the second-derivative test to determine whether critical points where f0(x) = 0 yield relative maxima or relative minima,Application
"100. How do I differentiate between ""deceive"" and ""cheat on""?",Analysis
21. Write a poem about the story.,Synthesis
96. Who is the first president   of USA,Knowledge
45. Relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,Application
85. when did saudi arabia start using internet,Knowledge
65. Who can use what we know about sonnets and finish this poem?,Application
11. Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics: What can be,Evaluation
95. Express the following percentages as fractions in simplest form,Comprehension
43. Devise plans to market or make artwork more valuable.,Synthesis
"47. Given the data available on a research question, take a position and defend it.",Evaluation
55. Recall locations of a historical events,Knowledge
37. How does your pet differ from other animals?,Analysis
49. How could we determine the number of pennies in a jar without counting them?,Synthesis
"45. If your story occurred long ago, compare that time with today in a good paragraph. If it was a modern story, compare it with a long time ago and tell what would be different.",Analysis
34. Express your opinion of 'Drugs in Sport' through poetry.,Comprehension
85. Translate an equation into a computer spreadsheet.,Comprehension
96. How would you investigate this abnormality,Analysis
19. Write about your feelings in relation to...,Synthesis
13. Describe what goes in each of the four areas on the first page of notes,Comprehension
19. What would you cite to defend the actions . . . ?,Evaluation
14. How would you classify the type of ...?,Comprehension
"53.  How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",Analysis
4. Apply the storytelling technique here to a little story of your own.,Application
87. Write a set of rules to prevent what happened in the story.,Synthesis
22. Write 5 new titles for the story that would give a good idea of what it was about,Synthesis
52. Classify types of corrosion inhibitors,Comprehension
"4. Analyze the problem, identifying its variables.",Analysis
71. How do teenagers use code in emails and instant messages?,Application
58. Is there a better solution to . . .?,Evaluation
23. Explain in one's own words how to create a query in a database.,Comprehension
80. What is a global variable?,Knowledge
"11. Analyze a work of art in terms of form, color and texture.",Analysis
81. Can you distinguish aged rums from unaged rums by smell,Analysis
77. What are the units of corrosion penetration rates? Relate these to Faraday's law,Knowledge
18. Write a journal from the point of view of mountaineer.,Synthesis
63. Recite the the Gaussian law,Knowledge
21. Discuss the nature of socialism.,Comprehension
53. Please label the diagram below:,Knowledge
19. State in your own words ...,Comprehension
6. Define Method in JAVA.,Knowledge
86. Translate an equation into a spreadsheet formula.,Comprehension
11. How would you explain...?,Comprehension
67. State the definition of application in Bloom's Taxonomy.,Knowledge
6. Can you see a possible solution to . . .?,Synthesis
50. How could you re-write this story with a city setting?,Synthesis
26. Create and perform a play about frogs.,Synthesis
70. State the pattern for expressing time in French.,Knowledge
70. Recommend how our classroom or playground could be improved.,Evaluation
24. Compare two of the characters in this book.,Analysis
27. Explain the causes of historical events,Comprehension
"57. In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects.",Evaluation
28. Identify the part of a eukaryotic cell.,Knowledge
"44. If your story happened in a foreign land, compare that land to the United States.",Analysis
16. How many years does this animal live?,Knowledge
56. How would you restructure the school day to reflect children's developmental needs?,Synthesis
"3. After solving a problem, determine the degree to which the problem was solved as efficiently as possible",Evaluation
5. Define morphology,Knowledge
39. Develop a SQA Plan for a software development project which is defined in the attached document.,Synthesis
52. How many ways can you . . .?,Synthesis
60. judge the difficulty level for yourself.,Evaluation
96. Show how they have used creative writing strategies appropriate to the format,Application
68. Prepare a book jacket that illustrates the kind of book as well as the story.,Synthesis
31. Determine if a character's actions were heroic,Evaluation
99. How would you show your understanding of the ABC process,Application
8. Assess the appropriateness of an author's conclusions based on the evidence given.,Evaluation
35. Label the parts of the following insects: Grasshopper,Knowledge
70.  sketch a graph of velocity versus time for the upward and downward parts of a ball's flight,Application
27. Create an advertising campaign,Synthesis
14. Choose a country that does not compete at the Olympics and explain why that country is not an Olympic member.,Application
"30. From the information given, can you develop a set of instructions about . . .?",Application
3. Analyze the movements and sounds of a frog.,Analysis
8. Calculate the deflection of a beam under uniform loading.,Application
26. What is the definition of the following terms...,Knowledge
30. Merge the different ideas into a single solution.,Synthesis
3. Discriminate the pros and cons of ____.,Analysis
98. Develop and execute a program for this exercise,Synthesis
14. Rewrite the story from an animal's point of view.,Synthesis
9. Can you distinguish between . . .?,Analysis
7. How can you differentiate between...?,Analysis
54. How does Tdap differ from Td vaccine,Analysis
69. How is scientific progress similar to Darwinian evolution according to Kuhn,Analysis
56. Recall the definition of the formula datatype from your assignment 2.,Knowledge
76. Summarize the basic tenets of collaborative conservation.,Comprehension
1. Apply laws of statistics to evaluate the reliability of a written test.,Application
15. What is the relationship between probability and statistical analysis?,Analysis
18. Compare herbatious and carnivorous animals on a Venn diagram.,Analysis
93. Which of the two liquids is hypotonic,Knowledge
68. State the formula for the area of a circle,Knowledge
1. Can you defend your position about ... ?,Evaluation
12. Can you group by characteristics such as . . .?,Application
57. Recall the equation for the Ideal Gas Law.,Knowledge
66. Can you differentiate between ethnic Chinese and ethnic Koreans,Analysis
11. Create several scientific hypotheses to ...,Synthesis
71. Revise how to complete a complex task in order to improve the outcome.,Synthesis
99. How do you think the community should grow or change,Evaluation
65. Differentiate the following functions using the quotient rule,Analysis
15. Compare and contrast the waterfall model with the prototyping model.,Analysis
12. Describe the Pareto Principle in statistical software quality assurance.,Comprehension
82. Can you distinguish pot still rums from column still rums by taste,Analysis
22. Explain how Timothy saved Phillip's life.,Comprehension
93. Construct the Data Path of the RISC Processor given in the previous question,Application
14. Compose a simple rap or rhyme about zoo animals.,Synthesis
85. Which of the following actions would probably be least effective in determining the answer?,Evaluation
35. From a blueprint to describe the article depicted.,Comprehension
62. Retell the story in your words.,Comprehension
91.  How would you compare SAS with the Visual Basic Application and SPSS for the processing and analysis of mainframe data,Comprehension
78. What solutions would you suggest for...?,Synthesis
8. Explain what is happening...,Comprehension
82. Why not compose a song about . . .?,Synthesis
79. What is  your family name,Knowledge
"40. Develop a way to teach the concept of ""adjectives"".",Synthesis
28. Draw a picture of the bears' house.,Application
21. What evidence can you find to suggest that people should be regarded as the most important resource of an organisation?,Analysis
59. Classify frogs toads and other amphibians.,Comprehension
"47. Show, through role-play, the final scene in the novel.",Application
27. Contrast Olympic athletes of today with athletes of past Olympic games.,Analysis
18. Identify three mistakes from the passage and correct them.,Comprehension
10. Justify the concept of inheritance and give the sample of code to illustrate your answer.,Evaluation
57. Specify a deterministic finite automaton (DFA) recognizing the,Application
"20. Write a TV show play, puppet show, role play, song or pantomime about..",Synthesis
"38. Illustrate this caption: ""Olympic as a Media Event in the Information Society""",Comprehension
90. Write an essay in not more than 250 words about India and Technological Advancement. Use active voice as much as possible.,Synthesis
26. Identify the correct definition of osmosis.,Knowledge
31. Distinguish facts from hypotheses,Analysis
41. Predict what happens to X if Y increases.,Application
97. What can I do to investigate this problem further,Analysis
94. which part of a data packet is used by a router to determine the destination network,Knowledge
79. What happens if you change the direction of the displacement (but not its size)?,Application
74. Summarize a story in own words.,Comprehension
59. Use a costing model to compute prices on goods to maximise profits and minimise costs.,Application
85. Write a logically organized argument in favor of a given position.,Synthesis
81. What criteria would you use to assess...?,Evaluation
29. Devise a different way of using X,Synthesis
21. Create a new product. Give it a name and plan a marketing campaign.,Synthesis
98. Do you think that this statement conveys the idea that i am trying to portray,Evaluation
"23. Your advice has been sought to settle the following dispute in Company X. Referring to appropriate legal principles, write a short report advising the company on the best course of action to adopt.",Evaluation
23. Derive a kinetic model from experimental data.,Application
68. Sketch the blackbody curves for radiation emitted from the Sun and the Earth,Application
18. Memorize the multiplication facts,Knowledge
29. Describe the economic consequence of a neolocal society. Support your description with information you have learned from this course.,Evaluation
40. In one sentence explain the main idea of a written passage.,Comprehension
77.  What happens if you restrict a determinental process to a subset R  S?,Application
19. Compare and contrast the two items and produce a summary of their similarities and differences,Analysis
20. Outline how class ArrayList could be implemented using an array,Evaluation
"2. Explain briefly the meaning of the following terms: Demography, Consumer sales promotion , and Media mix",Knowledge
48. Paraphrase what Hamlet is saying in his soliloquy.,Comprehension
33. Design a testing scenario to assess the susceptibility of an alloy to be used in a given environment?,Synthesis
29. design a cost effective strategy to generate reliable data.,Synthesis
31. in which continent does the state of suriname fall,Knowledge
67. How would you differentiate obstructive apneas from central apneas,Analysis
24. Explain in your own words what a recessive gene is.,Comprehension
43. List three characteristics that are unique to the Cubist movement.,Knowledge
48. Select the athlete of the century and analyze why you chose this person.,Analysis
59. Integrate training from several sources to solve a problem.,Synthesis
97. who is the founder of the kingdom of saudi Arabia,Knowledge
96. What do you think is the mass and why,Evaluation
6. How would you justify . . . ?,Evaluation
32. Do you agree...?,Evaluation
34. Design and make an animal that moves.,Synthesis
13. Trace the value of alpha after the following code executes. int alpha[5];int j;alpha[0] = 5;for (j = 1; j < 5; j++){if(j % 2 == 0)alpha[j] = alpha[j - 1] + 2;else alpha[j] = alpha[j - 1] + 3;},Analysis
86. Can you analyze the fractures and determine which should be repaired surgically,Analysis
"78.  Inspect each of these Boolean expressions, and determine whether each one is a sum of products, or a product of sums",Analysis
3. Can you develop method to handle the following case . . . ?,Synthesis
62. Judge whether it would be possible to survive on an island alone and blinded. Write about it.,Evaluation
7. Define the meaning of the Olympic Motto.,Knowledge
21. Compare this book to the last book you read.,Analysis
18. Describe what happened at...?,Comprehension
64. What questions would you ask if . . .?,Application
5. How can you categorize ____ according to...?,Analysis
17. Conclude and support which economic system leads to a higher standard of living.,Evaluation
23. Compare two dog food commercials. What is the difference between them and how do they both sell their products?,Analysis
95. How to construct the selected information system,Application
69. Pretend you are a librarian recommending this book to someone. Write a paragraph telling what  you would say.,Synthesis
27. Identify the five major prophets of the Old Testament.,Knowledge
"54. Classify the following protocols: IP, TCP, HTTP according to the ISO OSI classification",Comprehension
55. How would you create/design a new...?,Synthesis
92. How does Hawaii contrast and compare to Florida?,Analysis
"20. Critique the other student's (or your own) speech, based on the criteria we have studied this semester.",Evaluation
8. Judge how well a project meets the criteria of a rubric.,Evaluation
56. How would you classify the geographic location of your school,Comprehension
20. Develop a set of criteria for distinguishing between a good and bad example of this.,Analysis
15. What data was used to evaluate ____________?,Evaluation
25. Conduct an investigation to produce information to support a view.,Analysis
7. Predict what would happen if ...,Application
1. About what proportion of the population of the US is living on farms?,Knowledge
37. Evaluate board games and justify why rules are important.,Evaluation
5. Describe how Phillip and Timothy survived on the Cay.,Comprehension
15. Describe how the linear polarization method can yield corrosion rates,Comprehension
37. Develop a hypothesis.,Synthesis
99. How would you differentiate between heterodox and mainstream,Analysis
81. Tell in your own words the beginning of the book.,Comprehension
3. Can you design a . . . to . . .?,Synthesis
15. Choose any U.S. president and explain how he exercised his power as Commander in Chief of the Armed Forces.,Application
6. Develop a menu for a new healthy foods restaurant,Synthesis
6. Explain why the story has the title that it does.,Comprehension
49. Name the food groups and at least two items of food in each group.,Knowledge
"26. Write a program to calculate the SQRT for Array elements, you may use the Math class function (sqrt), the Array should include 5 Integer elements. The output should be the array elements along with their SQRT value.",Synthesis
61. Judge the value of . . .?,Evaluation
20. Create a chart that compares things that use electricity and things that do NOT use electricity.,Synthesis
58. Take a collection of photographs to demonstrate a particular point.,Application
60. Restate main idea of story in own words.,Comprehension
44. List three predominant economic systems that exist,Knowledge
39. Evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4),Evaluation
48. Solve a math problem using familiar procedure or formula,Application
84. Construct a Venn diagram to determine the validity of the given argument.,Application
30. Identify which word begins with the same sound as the s in sun (Knowledge of letter s),Knowledge
84. Translate a written text aloud from L2 to English.,Comprehension
"16. Use your imagination to create a picture about the story. Then, add one new thing that was not in the story.",Synthesis
17. Identify the key points in the text,Comprehension
17. How much data can be stored in the cach memory,Knowledge
19. Demonstrate how the seasons occur.,Application
21. Demonstrate using the OPAC and your knowledge of library organization to find a book about turtles.,Application
75. Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.,Evaluation
99.  Develop a network based on the following information: Activity Immediate predecessors,Synthesis
7. Are you a . . . person?,Evaluation
78. What would happen if the rainfall doubled in your state next year,Application
89. Revise the story and specify the type of audience that would enjoy this book.,Evaluation
83. What is part of this book did you like best. Tell why you like it?,Evaluation
56. In what ways do female offenders differ from male offenders,Analysis
16. What judgments can you make about...?,Evaluation
"61. Recite the poem ""Auto Wreck"".",Knowledge
92. Construct an analog circuit with the following specifications,Application
14. Suggest a way to deal with this scenario,Application
2. Class Facility is an abstract class. Explain what this means,Comprehension
40. List the levels in Bloom's Taxonomy.,Knowledge
8. What is Encapsulation ?,Knowledge
9. Explain what is meant.,Comprehension
11. List the __________________ in descending order,Knowledge
10. Can you explain what must have happened when . . .?,Analysis
41. Develop one plausible ending for all three short stories below.,Synthesis
14. List the data members,Knowledge
88. When did you born ?,Knowledge
"48. Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",Evaluation
67. Place the following in order of priority...,Evaluation
2. Can you propose an alternative plan to . . . ?,Synthesis
48. Name the artist who painted the Mona Lisa.,Knowledge
8. Draw and label a diagram of a typical stream.,Knowledge
18. Construct a model to demonstrate how it will work.,Application
89. How do you analyze a marginally RCT,Analysis
25. Explain in your own words what do you mean by the term economics?,Comprehension
50. Name the four major food groups.,Knowledge
81. What is a textual index,Knowledge
17. Compute the volume of a cylinder,Application
24. Write a JAVA program to show the Overloading concept,Synthesis
61. Use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet.,Application
77. What might happen if you combined...?,Synthesis
14. Rate the following recommendations and set the priority _____.,Evaluation
79. What would happen if . . .?,Synthesis
11. Can you find four different feelings Pa Lia had during the story?,Analysis
28. Construct an alternative way to ...,Synthesis
"55. Classify the following substances as particle, atom, element, molecule, compound",Comprehension
33. In Which part of the world does he live,Knowledge
7. Calculate for x in the following equation: 12x=36,Application
25. What do you recall ...?,Knowledge
12. Propose an alternative way to solve ...,Synthesis
4. Can you propose a model that would change . . . ?,Synthesis
71. Can you state in your own words what the problem is asking you to do,Comprehension
2. Apply shading to produce depth in drawing.,Application
58. Recall the following pictoral example of an implementation of some queue operations,Knowledge
47. Paraphrase an important speech,Comprehension
1. List two reference parameters in the setHour function,Knowledge
"12. Trace the contents of matrix from the following statements int matrix[3][2];int j, k;for (j = 0; j < 3; j++)for (k =h 0; k < 2; k++)matrik[j][k] = j + k;",Analysis
48. Given two opposing theories design an experiment to compare them.,Synthesis
7. Define Inheritance concept,Knowledge
10. Explain in one sentence what the method incFromN does,Comprehension
25. Create an equation to represent the solution to this problem.,Synthesis
19. Compare how different children come to school.,Analysis
44. Outline the most important insight of the tale.,Comprehension
91. Construct the 4-Bit Ripple carry Adder Circuit,Application
38. List reserved words in C programming.,Knowledge
80. What would you predict/infer from...?,Synthesis
54. Specify the thickness of a galvanized coating based on atmospheric data? (level 2),Application
51. Distinguish between the following giving suitable examples,Analysis
"94. How do we construct agents that can deliver. ""good"" assistance",Application
1. Compare Calliope with Howie. Use the word bank.,Comprehension
92. Estimate expenditure on HIV/AIDS education,Evaluation
7. Design a scientific study to test the effect of different kinds of music on hens' egg production.,Synthesis
80. Tell in your own words how the setting of the story made it more interesting.,Comprehension
15. How many states are there in USA,Knowledge
4. Describe 4 types of coupling in software design.,Comprehension
10. Assess the relative effectiveness of different graphical representations of the same data or biological concept.,Evaluation
98. Summarize the main point of these two texts in your own words,Comprehension
94. Estimate roughly how long the collision process takes,Evaluation
72.  How are the adolescents with ASD similar of different from each other in their sources of communication breakdowns ?,Analysis
56. How does one specify the syntactical restrictions,Application
16. Compute the area of actual circles.,Application
83.  Construct one Turing Machine for computing each of the following functions,Application
14. How many loop statement available in c++?,Knowledge
51. Describe the output of this program fragment:,Comprehension
17. What hypotheses can you develop based on the data ? Why ?,Synthesis
29. Differentiate printf function calls for displaying prompts and for echoing data.,Analysis
24. Decide which candidate would best fill the position of principal.,Evaluation
78. Was Hemingway a great American writer? First you will need to define greatness.,Evaluation
4. Define four types of traceability.,Knowledge
14. Can you defend your position about . . .?,Evaluation
89. Write a song about 'Old MacDonald' who had a bulldozer instead of a farm.,Synthesis
18. Compose an original work which incorporates five common materials in sculpture.,Synthesis
26. Decide which method of solving a problem was most effective,Evaluation
"23. In your own words, tell what the story is about.",Comprehension
74. Suppose Phillip wasn't rescued shortly after Timothy's death. How long could he have survived?,Synthesis
25. Write a program that uses nested loops to print the following output:,Synthesis
68. Predict what will happen next in.,Evaluation
46. Make a list of facts you learned from the story.,Knowledge
42. Interpret the pictures.,Comprehension
41. How was this similar to . . .?,Analysis
5. Break down the components of a standard film camera and explain how they interact to make the machine work.,Analysis
"50. Paraphrase this poem about Sheik Schubli, explaining what he was saying about the characteristics of a friend",Comprehension
93. Investigate whether or not the system can be solved for x; y; z,Analysis
64. Justify and nominate ways to prevent animal extinction.,Evaluation
67.  Sketch a prediction of the field lines for the arrangement of electrodes shown in Figure 2,Application
21. Can you justify the decisions you have made ?,Evaluation
1. Apply and integrate several different strategies to solve a mathematical problem (not according to one formula(,Synthesis
11. Write a C++ statement to declare a variable of type musicType name MyTune.,Application
11. Can you apply the method used to some experience of your own . . .?,Application
27. Create plan of local environment by drawing around boxes.,Synthesis
97. Do you devise a systematic approach in order to get larger progressions,Synthesis
70. Revise and process to improve the outcome.,Synthesis
100. How could we develop a coherent measure of success for organisations engaged in this type of activity with young people?,Synthesis
42. Evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester.,Evaluation
5. Define mercantilism.,Knowledge
"4. Based on the above dataType class, list all the function members",Knowledge
8. Design a building to house your study.,Synthesis
95. how do we devise a way to enforce the laws,Synthesis
63. Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete.,Evaluation
"33. Examine what helps to make a good Olympics? Think about money, schedules, sports and people.",Analysis
6. Show the value of x after running this program fragment,Application
29. Identify the standard peripheral components of a computer.,Knowledge
6. Are there students who should not use the Cornell method?,Evaluation
90. How to construct simple solutions when problems are complex?,Application
